,ticker,Time,Close,5D,10D,20D,50D
0,AAP,14:14:38,52.11,50.4,50.32,50.05,54.4
1,ALLE,14:14:38,162.9,161.39,162.86,164.49,171.39
2,APLD,14:14:38,23.37,22.35,23.64,28.21,28.17
3,AVGO,14:14:39,375.65,351.52,348.99,356.59,348.33
4,B,14:14:39,39.24,37.45,37.08,34.93,33.82
5,NET,14:14:39,192.79,192.66,205.03,219.31,218.66
6,BAC,14:14:39,52.1,51.66,52.3,52.72,51.8
7,LYFT,14:14:39,20.16,20.52,21.99,21.38,21.24
8,OSCR,14:14:40,16.01,14.26,14.33,15.93,18.21
9,SOFI,14:14:40,27.05,26.02,27.65,28.69,28.11
10,DIA,14:14:40,465.25,461.45,467.93,470.4,466.06
11,SPY,14:14:40,669.48,660.75,667.98,673.75,669.21
12,CVX,14:14:40,149.46,151.01,152.41,152.56,153.13
13,RKT,14:14:40,17.81,17.03,17.16,16.84,17.67
14,OPEN,14:14:41,7.67,6.96,7.72,7.54,7.9
15,OKLO,14:14:41,91.9,93.51,97.75,110.72,124.83
16,W,14:14:41,105.89,100.44,103.24,103.51,91.75
17,JNJ,14:14:41,204.73,202.84,199.32,193.29,188.82
18,T,14:14:41,25.74,25.61,25.57,25.2,26.2
19,PAAS,14:14:41,38.52,37.77,37.98,36.43,37.39
20,QQQ,14:14:42,605.67,595.52,604.12,614.21,607.38
21,RDDT,14:14:42,191.25,186.02,191.14,195.5,210.42
22,GS,14:14:42,791.69,780.34,792.3,790.91,785.95
23,GOOG,14:14:42,317.84,297.08,290.63,285.81,264.3
24,GOOGL,14:14:43,317.73,296.79,290.2,285.3,263.71
25,GE,14:14:43,291.77,293.33,299.55,304.08,301.43
26,MS,14:14:43,164.1,160.62,162.84,163.38,159.95
27,QCOM,14:14:43,166.32,164.08,168.63,172.65,169.44
28,PZZA,14:14:44,40.98,40.03,40.34,43.27,45.97
29,C,14:14:44,100.07,98.91,99.73,100.22,99.36
30,CHAT,14:14:44,59.13,58.3,59.83,62.64,62.67
31,GROY,14:14:44,3.63,3.67,3.66,3.57,3.66
32,GM,14:14:44,71.06,69.17,69.92,69.53,63.91
33,JPM,14:14:45,299.12,299.64,304.77,307.7,306.82
34,WULF,14:14:45,12.4,11.9,11.82,13.4,12.85
35,ORLY,14:14:45,99.38,99.17,98.99,97.05,100.48
36,CVS,14:14:45,78.01,77.31,78.22,78.5,77.85
37,GLD,14:14:45,378.72,375.43,377.35,372.47,367.08
38,AZO,14:14:45,3858.32,3848.49,3831.88,3762.24,3959.98
39,PANW,14:14:46,184.78,190.73,199.49,207.95,208.44
40,BBW,14:14:46,48.58,48.34,48.56,50.39,58.17
41,RBLX,14:14:46,89.66,93.94,98.36,105.16,121.28
42,HD,14:14:46,338.98,337.13,351.95,364.42,383.66
